age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
18,M,Y,Y,Y,N,3,2.5,3,1,2,10,Y,3,2,N,2,5,5,M,1
17,F,Y,N,N,N,1,2.9,4,1,4,15,Y,1,0,N,2,4,4,D,3
17,M,N,Y,Y,N,3,3.8,1,2,1,5,N,1,2,N,2,4,3,D,1
17,F,N,Y,Y,Y,1,4.34,3,2,2,2,Y,2,2,Y,3,5,4,M,3
16,M,N,Y,Y,N,1,,2,,1,0,Y,,1,N,5,4,5,M,2
16,F,N,Y,Y,Y,1,4.3,3,2,1,10,Y,2,2,Y,4,4,5,M,3
15,M,N,Y,N,Y,1,4.5,1,1,1,0,N,2,0,N,4,1,4,M,2
15,M,N,Y,Y,N,1,3.85,2,2,1,1,N,2,2,N,1,5,4,M,1
17,M,Y,Y,Y,N,3,3.83,2,1,2,2,Y,2,4,N,3,5,4,M,1
17,M,N,Y,Y,N,1,3.222,0,2,2,5,N,5,0,N,3,4,4,M,1
17,F,Y,Y,N,N,1,3,3,2,3,4,N,4,0.5,N,1,4,3,M,3
17,F,Y,Y,N,Y,1,4.1,2,2,1,6,Y,0,0,N,2,,,M,3
17,F,Y,Y,Y,N,1,3.957,0,2,1,10,Y,0,1,N,1,5,5,M,3
17,M,Y,Y,Y,Y,1,3.5,8,2,2,,Y,2,3,N,2,4,4,M,2
17,M,Y,N,Y,N,1,3.9,2,3,1,3,N,0,0,N,2,4,4,M,1
18,F,Y,Y,N,N,1,4,1,2,1,10,Y,2,5,N,2,4,5,M,3
18,F,N,Y,Y,N,1,4.2,2,2,1,12,Y,3,2,Y,3,5,5,M,3
17,F,Y,Y,N,N,1,3.7,2,2,1,10,Y,3,5,Y,2,4,4,M,3
18,F,Y,Y,Y,N,1,4.3,2,1,2,2,Y,1,1,N,5,4,4,M,1
17,F,N,Y,Y,Y,1,4.5,1,1,1,1,Y,2,2,N,3,4,5,M,3
18,M,Y,N,N,N,1,3.9,1,2,1,,Y,,5,Y,1,4,4,D,1
17,M,Y,N,N,N,1,3.7,1,1,1,2,Y,3,1.5,N,1,5,5,M,1
18,F,Y,Y,N,Y,1,3.8,4,4,1,2,N,3,3,N,5,3,5,M,2
17,F,Y,Y,N,Y,1,4.2,2,3,2,5,Y,1,1,Y,2,4,4,M,3
17,M,N,Y,Y,Y,3,4.1,2,2,1,5,Y,2,0.5,Y,1,2,4,M,1
17,M,N,Y,Y,N,1,4.5,2,3,2,4,Y,1,3,Y,3,4,4,M,1
17,M,N,Y,N,N,,4.183,1,1,3,2,N,3,2,N,4,4,4,M,1
18,M,N,Y,Y,N,2,3.78,2,2,2,2,N,2,0,N,1,4,3,,2
17,M,Y,N,N,N,2,3,5,2,2,2,N,1,1,N,1,4,2,M,1
19,F,Y,N,Y,N,1,4.2,2,,3,3,Y,1,4,N,2,4,4,M,3
18,F,N,Y,N,N,1,4.2,0,1,3,0,N,1,0,N,3,5,5,D,2
